候補者の氏名,ふりがな,性別,年齢,党派名,候補者のウェブサイト等のアドレス,,選挙区,候補者のウェブサイト等のアドレス,Twitter,Facebook,YouTube,Instagram
森山よしのり,もりやまよしのり,男,52歳,幸福実現党,http://moriyama-yoshinori-hrp.blogspot.jp/,,北海道,http://moriyama-yoshinori-hrp.blogspot.jp/,https://twitter.com/YosshiiMoriyama,,https://www.youtube.com/user/ChannelMoriyama7,
高橋はるみ,たかはしはるみ,女,65歳,自由民主党,http://haruchan.jp/,,北海道,http://haruchan.jp/,http://twitter.com/haruchan_t/,https://www.facebook.com/takahashi.hokkaido.5/,,
はたやま和也,はたやまかずや,男,47歳,日本共産党,http://hatayamakazuya.com/,,北海道,http://hatayamakazuya.com/,https://twitter.com/hatayama_kazuya,https://www.facebook.com/kazuya.hatayama.1,,
いわせ清次,いわせせいじ,男,66歳,労働の解放をめざす労働者党,,,北海道,,,,,
岩本つよひと,いわもとつよひと,男,54歳,自由民主党,https://www.iwamoto-t.jp/,,北海道,https://www.iwamoto-t.jp/,https://twitter.com/iwamoto_tsuyo,https://www.facebook.com/facebook,https://www.youtube.com/channel/UCxWxn7wkN_2USYdHho44q3g,https://www.instagram.com/iwamototsuyohito/
勝部けんじ,かつべけんじ,男,59歳,立憲民主党,http://Katsube-kenji.jp/,,北海道,http://Katsube-kenji.jp/,https://twitter.com/katsubekenji?ref_src=twsrc%5Etfw,https://www.facebook.com/profile.php?id=100007559386668,https://www.youtube.com/watch?v=p7mwEoeoqI0,https://www.instagram.com/katsubekenji/
中村治,なかむらおさむ,男,66歳,安楽死制度を考える会,,,北海道,,,,,
はらやなみ,はらやなみ,女,35歳,国民民主党,http://haraya-nami.jp/,,北海道,http://haraya-nami.jp/,https://twitter.com/haraya_nami?ref_src=twsrc%5Etfw,https://www.facebook.com/harayanami/,,https://instagram.com/harayanami
山本貴平,やまもとたかひら,男,44歳,NHKから国民を守る党,http://www.nhkkara.jp/,,北海道,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
小山日奈子,こやまひなこ,女,53歳,NHKから国民を守る党,http://www.nhkkara.jp/,,青森県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
滝沢もとめ,たきさわもとめ,男,60歳,自由民主党,,,青森県,,,,,
小田切さとる,おだぎりさとる,男,61歳,立憲民主党,,,青森県,,,,,
横沢たかのり,よこさわたかのり,男,47歳,無所属,https://yokosawa.net/,,岩手県,https://yokosawa.net/,https://twitter.com/TeamYokosawa,https://www.facebook.com/yokosawat/,,
平野たつお,ひらのたつお,男,65歳,自由民主党,https://tatuo.jp/,,岩手県,https://tatuo.jp/,https://twitter.com/hiranotatsuo1?ref_src=twsrc%5Etfw,https://www.facebook.com/%E5%B9%B3%E9%87%8E-%E9%81%94%E7%94%B7%E3%81%B2%E3%82%89%E3%81%AE-%E3%81%9F%E3%81%A4%E3%81%8A-179411478891401/,https://www.youtube.com/user/HiranoTatsuo,
梶谷秀一,かじたにしゅういち,男,53歳,NHKから国民を守る党,http://www.nhkkara.jp/,,岩手県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
三宅紀昭,みやけのりあき,男,57歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,宮城県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
愛知治郎,あいちじろう,男,50歳,自由民主党,http://a-jiro.jp/,,宮城県,http://a-jiro.jp/,https://twitter.com/jiroaichi,https://www.facebook.com/aichijiro/,https://www.youtube.com/channel/UCyRbFGNB3BkN34xrlEPxxrg,
石垣のりこ,いしがきのりこ,女,44歳,立憲民主党,http://www.norikorock.com,,宮城県,http://www.norikorock.com,https://twitter.com/Ocasio2018,https://www.facebook.com/NORIKOROCK2019,,https://www.instagram.com/norikorock2019/
なかいずみ松司,なかいずみまつじ,男,40歳,自由民主党,http://www.nakaizumimatsuji.com,,秋田県,http://www.nakaizumimatsuji.com,https://twitter.com/Mat_Nakaizumi,https://www.facebook.com/nakaizumi.matsuji,https://www.youtube.com/channel/UC2M0QCsLKKfWQan1dfg8EmQ,
てらたしずか,てらたしずか,女,44歳,無所属,https://teratashizuka.com/,,秋田県,https://teratashizuka.com/,,https://www.facebook.com/shizukaterata/,,
石岡隆治,いしおかりゅうじ,男,45歳,NHKから国民を守る党,http://www.nhkkara.jp/,,秋田県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
大沼みずほ,おおぬまみずほ,女,40歳,自由民主党,https://mizuho-onuma.jp/,,山形県,https://mizuho-onuma.jp/,,,,
はが道也,はがみちや,男,61歳,無所属,https://www.hagamichiya.com/,,山形県,https://www.hagamichiya.com/,https://twitter.com/hagamichiya?ref_src=twsrc%5Etfw,https://www.facebook.com/%E3%81%AF%E3%81%8C%E9%81%93%E4%B9%9F-%E4%BA%8B%E5%8B%99%E6%89%80-418815375548186/,https://www.youtube.com/channel/UCaMw1z5SuIpZ68BlUOt5Sgg/videos,
小野澤健至,おのざわたけし,男,49歳,NHKから国民を守る党,http://www.nhkkara.jp/,,山形県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
